,Model Name,Price,Discount,Avg Rating,Rating Count,Review Count,Memory Details,Screen Dimention,Lens Detail,Battery Capacity,Processor,Warranty
0,"Samsung Galaxy A30s (Prism Crush Black, 128 GB)",15999.0,19% off,4.3,"1,853 Ratings ", 143 Reviews,4 GB RAM | 128 GB ROM |,16.26 cm (6.4 inch) HD+ Display,25MP + 5MP + 8MP | 16MP Front Camera,4000 mAh Li-ion Battery,Exynos 7904 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
1,"Samsung Galaxy A30s (Prism Crush White, 128 GB)",15990.0,19% off,4.3,"1,853 Ratings ", 143 Reviews,4 GB RAM | 128 GB ROM |,16.26 cm (6.4 inch) HD+ Display,25MP + 5MP + 8MP | 16MP Front Camera,4000 mAh Li-ion Battery,Exynos 7904 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
2,"Samsung Galaxy M40 (COCKTAIL ORANGE, 128 GB)",18499.0,13% off,4.1,306 Ratings , 29 Reviews,6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Display,32MP Rear Camera,3500 mAh Battery,,1 YEAR
3,"Nokia 5.1 Plus (Black, Blue, 64 GB)",10399.0,43% off,,,,6 GB RAM | 64 GB ROM |,14.73 cm (5.8 inch) Display,13MP Rear Camera,3060 mAh Battery,,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
4,"Nokia 6.2 (Ice White, 64 GB)",13990.0,20% off,4.4,28 Ratings , 3 Reviews,4 GB RAM | 64 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,16MP + 5MP + 8MP | 8MP Front Camera,3500 mAh Battery,,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
5,"Vivo S1 Pro (Mystic Black, 128 GB)",19990.0,4% off,4.6,255 Ratings , 26 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.21 cm (6.38 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 32MP Front Camera,4500 mAh Lithium Polymer Battery,Qualcomm Snapdragon 665 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
6,"Redmi Note 8 (Cosmic Purple, 128 GB)",14000.0,12% off,4.5,"1,691 Ratings ", 139 Reviews,6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Display,48MP Rear Camera | 13MP Front Camera,4000 mAh Battery,,1 year
7,"Vivo S1 Pro (Dreamy White, 128 GB)",19990.0,4% off,4.6,255 Ratings , 26 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.21 cm (6.38 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 32MP Front Camera,4500 mAh Lithium Polymer Battery,Qualcomm Snapdragon 665 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
8,"Vivo S1 Pro (Jazzy Blue, 128 GB)",19990.0,4% off,4.6,255 Ratings , 26 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.21 cm (6.38 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 32MP Front Camera,4500 mAh Lithium Polymer Battery,Qualcomm Snapdragon 665 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
9,"LG W30 Pro (Midnight Blue, 64GB GB)",12500.0,21% off,,,,4 GB RAM | 64GB GB ROM |,15.77 cm (6.21 inch) Display,16MP Rear Camera,4050 mAh Battery,,1 year manufacturer warranty for device and 6 months manufacturer warranty for Accessories
